ID,AGE,SEX,EDU,MAR,CRE,BILL_1,BILL_2,BILL_3,STA_1,STA_2,STA_3,AMT_1,AMT_2,AMT_3,PAY
24,26,Female,College,single,17064,15035,14611,13782,duly,duly,duly,676,555,519,Y
25,26,Male,College,single,9243,57,18,33,duly,duly,duly,36,18,69,N
26,43,Female,College,single,35550,14279,6231,11055,duly,,duly,1420,10149,13829,Y
27,23,Female,College,single,16353,366,1231,2436,delay,delay,delay,0,1078,303,Y
28,24,Male,College,single,3555,551,671,696,duly,duly,duly,135,30,22,Y
29,27,Female,Graduate,married,9243,415,803,410,duly,duly,duly,838,391,558,Y
30,24,Male,Graduate,single,1422,11,18,99,,,,0,99,78,Y
31,29,Female,College,single,21330,10842,7284,1338,duly,duly,duly,395,149,188,Y
32,34,Male,College,single,8532,61,61,61,duly,duly,duly,61,61,125,Y
33,35,Female,College,married,7110,5456,4086,837,duly,duly,duly,201,89,1788,N
34,33,Female,College,married,4977,3598,2694,1683,delay,duly,duly,53,100,71,Y
35,29,Female,Graduate,married,11376,63,5,40,duly,,duly,0,11,35,N
36,52,Female,Graduate,married,5688,2470,2615,2733,duly,duly,duly,113,106,104,Y
37,50,Male,Graduate,married,35550,288,170,71,duly,duly,duly,304,168,165,Y
38,29,Female,Graduate,single,9954,173,233,129,duly,,duly,0,362,98,N
39,47,Female,HighSchool,married,8532,1149,1213,1218,duly,duly,duly,154,143,71,Y
40,33,Male,Graduate,single,22041,846,35,485,duly,duly,duly,494,61,434,Y
41,37,Male,College,single,31995,17644,762,493,duly,duly,duly,197,605,36,Y
42,24,Male,College,single,9954,7451,7072,5321,duly,duly,duly,284,242,199,Y
43,50,Male,Graduate,married,35550,14211,13173,12124,duly,duly,duly,1244,1067,1067,Y
44,47,Male,College,married,2133,237,605,770,duly,duly,duly,316,117,31,N
45,37,Female,Graduate,single,14220,5158,4450,3652,duly,duly,duly,267,160,142,Y
46,37,Female,College,married,17064,-11,-11,-11,,,,0,0,0,N
47,42,Female,College,married,12087,395,348,197,duly,duly,,107,197,189,Y
48,32,Female,College,married,6399,5869,6127,6309,duly,delay,delay,292,256,221,Y
49,37,Female,College,married,14220,141,93,233,delay,duly,duly,78,31,322,N
50,34,Female,College,married,7110,886,631,918,duly,duly,duly,112,146,50,Y
51,48,Female,HighSchool,married,9954,5107,8262,6799,duly,duly,duly,4944,272,317,Y
52,30,Male,College,single,2133,589,725,366,duly,duly,duly,142,7,0,N
53,29,Female,College,married,7110,5995,5836,5936,delay,delay,delay,0,220,117,Y
54,44,Male,HighSchool,married,24885,334,270,25,duly,duly,,382,153,121,Y
55,32,Male,Graduate,single,22041,4943,4563,785,duly,duly,duly,2571,249,1183,Y
56,44,Male,College,single,3555,1240,1374,1361,duly,duly,duly,128,71,64,Y
57,23,Female,College,single,4266,1965,2185,2146,duly,delay,delay,155,38,125,Y
58,27,Male,HighSchool,single,5688,2482,4441,4394,duly,delay,delay,1920,78,263,Y
59,37,Female,College,married,9243,8691,6830,9136,duly,duly,duly,403,221,340,Y
60,38,Male,Graduate,single,17064,334,173,172,duly,duly,delay,302,178,65,Y
61,27,Female,Graduate,single,14220,654,1590,1697,duly,duly,duly,275,661,202,Y
62,39,Female,Graduate,married,35550,114,1797,1447,,,,535,1955,1141,N
63,38,Male,HighSchool,single,31995,22180,20327,19614,duly,duly,duly,924,1067,2133,Y
64,44,Male,Graduate,married,25596,12,12,12,duly,duly,duly,12,12,12,Y
65,26,Male,College,married,5688,4674,3358,2087,duly,duly,duly,223,57,50,Y
66,35,Female,Graduate,married,25596,100,192,100,delay,delay,duly,100,7,0,Y
67,38,Male,Graduate,married,18486,178,0,0,delay,delay,,0,0,0,N
68,35,Female,Graduate,married,16353,345,220,0,duly,duly,,80,0,0,Y
69,29,Female,College,single,12087,4778,4808,4085,duly,duly,duly,190,194,194,Y
70,34,Female,Graduate,single,25596,0,0,0,delay,,,0,0,0,N
71,26,Female,HighSchool,married,9243,8892,9279,9180,duly,delay,delay,483,320,391,Y
72,46,Female,College,married,7821,7609,6990,4888,duly,duly,delay,365,301,107,Y
73,25,Female,College,single,11376,11402,11631,11131,delay,delay,delay,466,207,409,N
74,24,Female,College,single,11376,4773,5020,5288,delay,delay,delay,188,281,203,Y
75,45,Female,Graduate,married,20619,24,22,123,duly,duly,duly,22,112,11,Y
76,23,Female,College,single,3555,3454,3486,4021,duly,duly,duly,143,178,279,Y
77,34,Female,Graduate,single,23463,461,45,257,,,,321,70,527,Y
78,28,Female,College,single,22752,1689,1566,1670,delay,delay,duly,71,107,249,N
79,36,Male,College,single,31995,427,353,345,,,,329,285,381,N
80,29,Male,College,single,8532,8506,7471,6260,duly,duly,duly,364,232,238,Y
81,22,Female,Graduate,single,1422,811,802,751,delay,delay,delay,39,31,2,Y
82,31,Female,Graduate,single,25596,1112,1696,1452,,,,2386,1370,315,Y
83,29,Female,College,married,9954,6180,2367,1506,duly,duly,duly,895,1095,1067,N
84,25,Female,Graduate,single,1422,1162,851,624,duly,duly,duly,102,107,71,N
85,38,Female,Graduate,single,17064,8864,4347,8105,duly,duly,duly,321,320,7938,Y
86,35,Male,College,married,16353,12483,12825,10801,duly,duly,duly,604,178,6918,Y
87,36,Male,College,single,3555,3635,3494,2866,delay,delay,duly,0,173,1041,Y
88,46,Male,College,single,17064,3436,3693,3925,duly,duly,duly,213,213,213,Y
89,29,Female,College,single,10665,54,38,64,duly,duly,duly,59,64,112,Y
90,48,Female,Graduate,married,25596,17,447,44,duly,,duly,0,492,15,Y
91,27,Male,College,single,21330,-11,-11,8,,,duly,0,11,7,Y
92,31,Male,Graduate,single,12087,11776,11980,11752,duly,duly,duly,454,423,471,Y
93,46,Female,Graduate,married,10665,1586,1734,2090,duly,duly,duly,110,220,96,Y
94,29,Male,College,married,3555,28,28,28,delay,delay,delay,0,0,0,Y
95,37,Female,HighSchool,single,14931,806,759,239,duly,duly,duly,613,557,545,Y
96,49,Female,College,married,2133,1906,973,1050,duly,duly,duly,107,60,64,Y
97,44,Male,HighSchool,others,3555,2935,3159,3236,delay,delay,delay,140,103,142,Y
98,25,Female,Graduate,single,1422,838,927,591,duly,duly,duly,88,74,47,Y
99,58,Male,College,married,27018,24937,21082,21194,duly,duly,duly,827,782,818,Y
100,32,Female,Graduate,single,12798,320,100,100,duly,delay,duly,100,100,6,Y
101,23,Female,Graduate,single,6399,372,910,591,duly,duly,duly,555,364,0,Y
102,37,Female,College,married,711,311,256,528,duly,duly,duly,399,349,230,Y
103,30,Female,Graduate,single,31284,49,9196,9555,duly,duly,duly,3130,4729,2370,Y
104,38,Male,Graduate,single,5688,1932,1483,634,duly,duly,duly,637,36,129,Y
105,39,Male,Graduate,married,21330,1493,1571,2252,duly,duly,duly,1683,1297,1615,Y
106,33,Female,College,single,16353,16579,14283,11716,duly,duly,duly,658,432,587,Y
107,36,Female,Graduate,married,7110,699,660,569,,,,246,1034,631,Y
108,34,Male,Graduate,single,35550,12479,3715,549,duly,duly,duly,644,711,149,Y
109,27,Female,Graduate,single,12798,119,237,237,delay,duly,duly,237,237,237,Y
110,33,Female,Graduate,single,22752,489,335,84,,,,727,43,41,Y
111,26,Male,College,single,12798,434,651,437,duly,duly,duly,185,26,8,N
112,34,Male,College,married,3555,3441,3458,2072,delay,duly,duly,89,160,121,Y
113,39,Male,Graduate,married,25596,6078,2905,224,duly,duly,duly,2793,231,235,Y
114,35,Male,College,married,15642,15052,15086,6672,duly,duly,duly,643,314,284,N
115,32,Female,College,married,12798,1025,1165,1276,delay,delay,delay,100,107,249,N
116,30,Male,College,married,25596,178,178,0,delay,delay,delay,0,0,0,N
117,38,Male,College,single,3555,3584,3596,3609,duly,duly,duly,130,134,162,Y
118,30,Female,Graduate,single,14220,7063,8618,8158,duly,duly,duly,854,711,462,Y
119,32,Female,College,married,6399,4479,2971,2055,duly,duly,duly,156,128,89,Y
120,29,Female,Graduate,married,5688,90,93,184,duly,duly,duly,79,27,157,Y
121,26,Male,Graduate,single,6399,3948,3099,2540,delay,delay,duly,110,107,114,Y
122,30,Female,College,single,2133,1779,1906,2003,duly,duly,duly,115,87,128,N
123,35,Female,College,married,34128,16750,17539,16518,duly,duly,duly,2169,576,1102,Y
124,24,Male,Graduate,single,3555,1406,1410,1210,duly,duly,duly,119,78,82,Y
125,33,Female,College,married,35550,19179,20443,21256,duly,duly,duly,1049,760,853,Y
126,46,Female,College,married,18486,5,0,37,,,,5,4,364,Y
127,34,Male,College,married,3555,1785,2138,312,duly,duly,duly,252,36,2,Y
128,26,Female,Graduate,single,12087,7164,7550,7184,duly,duly,delay,368,267,267,Y
129,25,Female,Graduate,single,16353,2517,886,688,duly,duly,duly,356,130,853,Y
130,47,Female,College,married,14931,1310,1493,1795,duly,duly,duly,124,178,142,Y
131,29,Male,Graduate,single,25596,333,130,113,duly,duly,duly,286,130,60,Y
132,28,Female,Graduate,single,11376,209,0,0,duly,,,71,0,0,Y
133,29,Female,College,single,20619,551,610,681,duly,duly,duly,94,64,71,Y
134,30,Male,College,single,4977,413,991,1176,delay,duly,duly,484,228,161,Y
135,25,Female,College,single,3555,3141,2886,2886,duly,duly,duly,129,149,104,Y
136,28,Female,College,married,2133,15,10,0,,,,0,11,0,Y
137,22,Male,HighSchool,single,2133,2056,1595,205,delay,duly,duly,105,18,0,Y
138,30,Female,College,single,19908,124,257,265,duly,duly,duly,166,204,262,Y
139,42,Female,Graduate,single,11376,0,0,26,,,,0,26,0,Y
140,34,Female,College,married,31995,26849,5774,7059,duly,duly,duly,843,889,1244,Y
141,27,Female,Graduate,married,11376,10593,10476,10101,duly,duly,duly,408,367,297,Y
142,38,Male,College,single,4977,3485,2519,1184,duly,duly,duly,120,66,63,Y
143,40,Female,HighSchool,single,1422,1277,1260,673,delay,delay,duly,0,178,213,Y
144,41,Female,College,married,17775,3162,178,0,duly,duly,,2181,0,0,Y
145,26,Female,HighSchool,married,2133,622,794,827,delay,delay,delay,85,39,57,N
146,40,Female,Graduate,married,12798,752,129,128,duly,duly,duly,331,171,121,Y
147,24,Female,Graduate,single,6399,5483,0,0,duly,,,117,0,0,Y
148,47,Female,Graduate,married,29862,504,3689,3113,delay,duly,duly,2485,112,106,Y
149,25,Female,Graduate,single,12798,4078,3531,2197,duly,duly,duly,155,78,138,Y
150,29,Female,College,single,20619,4954,5141,5356,duly,duly,duly,204,194,202,Y
151,34,Female,College,single,7821,799,635,799,duly,delay,duly,89,185,36,Y
152,29,Female,College,single,4266,4013,337,0,duly,duly,,214,0,0,Y
153,26,Female,Graduate,single,2133,2145,1706,222,delay,duly,duly,47,2,191,N
154,34,Male,College,single,9954,9477,8136,7358,delay,delay,delay,423,252,128,Y
155,41,Male,College,single,9243,8457,4344,1248,duly,duly,duly,222,82,36,N
156,31,Female,College,single,6399,1624,1818,1881,duly,duly,delay,115,95,121,N
157,27,Male,College,single,14220,8084,8207,8692,delay,delay,delay,231,498,178,Y
158,47,Male,HighSchool,married,3555,889,1063,1159,duly,delay,duly,142,71,71,Y
159,41,Female,College,married,7110,6895,6785,6766,delay,delay,delay,124,249,270,N
160,38,Female,College,single,24174,28,0,0,,,,28,0,0,N
161,27,Male,Graduate,single,9243,4239,2186,2291,duly,duly,duly,129,94,220,Y
162,30,Male,College,married,7821,4395,4618,4792,duly,delay,delay,341,174,292,N
163,25,Male,College,single,2133,1060,1100,1155,delay,delay,delay,53,53,53,N
164,42,Male,College,married,14220,5390,2970,4503,duly,duly,duly,322,181,4302,Y
165,43,Male,College,married,11376,42,28,47,,,,28,42,33,Y
166,44,Female,Graduate,married,27018,25968,24638,21958,duly,duly,duly,1045,997,855,Y
167,37,Male,Graduate,single,48348,1223,1184,6356,duly,duly,duly,181,36,5930,Y
168,42,Female,Graduate,single,12798,12721,186,79,,,,414,1,36,Y
169,28,Female,College,single,27018,8143,4127,2137,duly,duly,duly,465,249,9044,Y
170,32,Female,Graduate,single,18486,649,462,20,duly,duly,duly,178,20,0,Y
171,28,Male,Graduate,single,19908,431,212,379,,,,168,519,109,Y
172,53,Female,College,married,5688,2264,2397,2496,duly,duly,duly,110,88,92,Y
173,30,Female,HighSchool,single,3555,3565,899,352,duly,duly,duly,227,82,13,Y
174,49,Female,Graduate,married,35550,30492,29742,29755,duly,duly,duly,1203,997,1635,Y
175,27,Female,Graduate,single,7110,5797,5178,4585,duly,duly,duly,203,167,175,Y
176,49,Female,Graduate,married,18486,0,42,42,delay,,duly,0,42,0,Y
177,46,Male,HighSchool,single,12798,6437,1115,1488,duly,duly,duly,154,107,1067,Y
178,53,Female,College,married,10665,9727,9953,9560,duly,duly,duly,764,342,344,Y
179,25,Male,Graduate,single,1422,1305,1349,1360,delay,delay,duly,107,55,108,N
180,57,Male,College,single,11376,0,0,21,,,,0,0,21,N
181,48,Female,College,single,35550,2764,1943,2859,duly,duly,duly,2347,1955,1138,Y
182,24,Female,College,single,7110,24,0,5,delay,,,24,0,22,N
183,28,Female,College,single,11376,6149,7113,7389,duly,duly,duly,356,889,409,Y
184,45,Female,College,married,2133,2178,2072,1290,delay,delay,duly,50,54,73,N
185,32,Female,College,single,14931,47,15,0,,,,49,0,0,Y
186,36,Male,Graduate,single,19197,474,550,204,,,,312,337,287,Y
187,30,Male,College,married,19908,46,29,85,delay,delay,duly,0,105,15,Y
188,29,Male,Graduate,single,5688,3762,4064,4350,duly,duly,duly,249,267,313,Y
189,35,Female,Graduate,others,25596,218,0,246,,,,91,0,246,Y
190,35,Female,Graduate,single,14220,5445,5248,4957,duly,duly,duly,284,320,249,Y
191,32,Male,Graduate,single,17064,225,223,225,,,,223,226,224,Y
192,26,Male,Graduate,single,5688,3814,2951,1978,duly,duly,duly,235,231,206,Y
193,33,Male,Graduate,single,1422,1257,1333,1388,delay,delay,delay,80,57,23,Y
194,36,Male,HighSchool,married,9954,6362,6483,6295,duly,duly,duly,1173,284,238,Y
195,37,Male,College,single,14931,1180,1259,1240,duly,duly,duly,215,356,143,Y
196,45,Female,College,single,1422,138,959,438,delay,duly,duly,786,144,333,Y
197,26,Male,College,single,4266,4163,4023,1984,duly,duly,duly,164,144,146,N
198,25,Female,College,married,3555,2491,2217,2477,duly,delay,delay,121,199,53,N
199,30,Female,College,single,3555,250,94,52,duly,duly,duly,153,62,52,Y
200,48,Male,HighSchool,married,18486,11155,11224,9802,duly,duly,duly,498,441,356,Y
201,35,Female,College,married,22752,319,463,722,duly,delay,duly,102,122,157,Y
202,49,Female,College,married,4266,4206,2307,2161,delay,duly,delay,125,85,165,N
203,25,Female,HighSchool,married,3555,3571,2092,371,delay,duly,duly,145,108,725,N
204,30,Female,College,single,35550,6118,5590,4760,duly,duly,duly,2437,590,741,Y
205,54,Female,College,married,12798,6362,6624,6897,duly,duly,duly,235,243,254,Y
206,38,Female,College,married,2133,1398,1573,1752,duly,duly,delay,142,124,53,Y
207,42,Male,College,single,10665,228,0,37,,,,0,0,37,Y
208,26,Female,Graduate,single,7110,0,0,0,delay,,,0,0,5,Y
209,48,Female,HighSchool,single,1422,1277,1305,1368,duly,duly,duly,105,67,97,Y
210,29,Male,Graduate,single,19908,9454,9176,9554,duly,duly,duly,325,263,274,Y
211,38,Male,Graduate,married,33417,2402,8397,8877,duly,duly,duly,244,5984,130,N
212,48,Male,College,married,17064,169,0,1177,duly,,duly,28,137,1635,N
213,22,Male,College,single,1422,644,767,872,duly,delay,duly,107,71,324,Y
214,28,Female,Graduate,single,14220,23,23,23,duly,duly,duly,23,23,23,Y
215,34,Female,Graduate,single,8532,601,544,102,duly,duly,duly,260,110,102,Y
216,29,Male,Graduate,single,21330,89,116,123,,,,103,74,75,Y
217,31,Female,Graduate,single,12798,0,0,0,delay,,,0,0,0,N
218,44,Female,Graduate,single,24885,22178,23080,23963,delay,delay,delay,924,889,924,N
219,39,Male,College,married,23463,0,9045,9557,delay,duly,duly,4485,391,569,Y
220,40,Female,College,married,11376,131,0,23,delay,,,131,0,47,Y
221,29,Male,College,single,12798,0,0,0,delay,,,0,0,0,Y
222,48,Female,College,single,3555,3811,3546,1912,duly,duly,duly,145,112,116,Y
223,36,Male,College,married,14220,134,25,148,duly,duly,duly,157,98,137,Y
224,24,Female,College,single,10665,0,153,356,delay,duly,duly,115,394,0,Y
225,30,Female,Graduate,married,12087,366,1297,403,,,duly,214,1475,635,Y
226,52,Male,HighSchool,single,3555,3101,529,0,duly,duly,,84,0,0,N
227,42,Male,College,married,3555,3308,1062,615,duly,duly,duly,113,144,792,N
228,41,Female,College,married,7110,28,34,0,,,,28,34,0,Y
229,38,Male,College,married,14220,7368,7415,6937,delay,delay,duly,338,124,444,N
230,45,Female,College,married,39816,26900,27280,24060,duly,duly,duly,949,919,847,N
231,37,Male,Graduate,married,34128,500,1210,1629,delay,duly,duly,582,1414,799,Y
232,47,Female,College,married,2844,2185,2389,2432,delay,delay,duly,160,49,100,N
233,33,Male,HighSchool,married,4266,4237,4158,2146,duly,duly,duly,164,128,89,Y
234,24,Female,College,single,711,550,658,684,duly,duly,duly,93,23,23,N
235,22,Female,Graduate,single,7110,2680,2810,1681,delay,duly,delay,145,57,26,N
236,49,Male,HighSchool,married,35550,16912,14897,6933,duly,duly,duly,996,985,162,Y
237,50,Female,Graduate,married,22752,107,408,0,duly,duly,,483,0,9,Y
238,28,Male,Graduate,single,5688,2,7,0,delay,duly,,9,0,0,Y
239,33,Male,Graduate,single,17064,2301,973,2134,duly,duly,duly,2798,808,2299,Y
240,25,Male,College,single,3555,967,1049,551,duly,duly,duly,526,21,53,Y
241,41,Female,College,single,3555,2895,0,0,duly,,,72,0,0,Y
242,26,Female,College,married,3555,1606,823,100,duly,duly,delay,109,70,47,Y
243,37,Female,College,married,2844,1845,1910,1963,delay,delay,delay,53,103,124,N
244,29,Male,College,single,9954,35,71,0,duly,duly,,89,0,11,Y
245,37,Male,College,single,18486,18430,5653,9189,duly,duly,duly,676,4870,427,Y
246,60,Male,College,married,1422,683,714,711,duly,delay,duly,93,31,36,Y
247,33,Male,Graduate,single,25596,23,-5,147,,,,0,149,197,Y
248,40,Male,HighSchool,single,14220,22,22,22,duly,duly,duly,22,22,22,N
249,30,Male,Graduate,single,14220,60,20,40,delay,delay,duly,0,40,0,N
250,47,Female,Graduate,married,33417,31893,31758,31254,duly,duly,delay,1244,1648,1027,Y
251,26,Female,College,married,1422,305,158,234,delay,duly,duly,43,71,71,Y
252,24,Female,College,single,6399,1878,1306,982,duly,duly,duly,881,364,353,Y
253,48,Male,Graduate,married,8532,26,26,36,delay,duly,duly,26,18,49,N
254,36,Female,HighSchool,single,17064,-2,-2,297,delay,,duly,0,55,391,Y
255,29,Male,Graduate,single,14220,0,147,76,delay,delay,duly,83,0,104,N
256,37,Male,HighSchool,married,3555,3805,3631,3534,delay,delay,duly,0,0,0,Y
257,34,Female,College,single,25596,14671,15155,15676,duly,duly,duly,569,560,561,Y
258,35,Female,Graduate,married,20619,0,0,0,delay,,,0,0,0,Y
259,25,Female,College,single,25596,25263,24412,23686,duly,duly,duly,995,853,853,N
260,45,Female,College,single,18486,14778,14075,14440,duly,duly,duly,569,533,569,Y
261,40,Male,College,married,12087,7924,9108,0,duly,duly,,5359,127,0,Y
262,37,Female,College,married,9243,444,730,894,duly,duly,duly,249,89,0,N
263,40,Female,Graduate,single,12798,0,0,511,,,duly,0,421,642,Y
264,23,Male,College,single,3555,783,968,540,duly,duly,duly,704,36,53,Y
265,66,Male,College,married,10665,12743,10423,10367,duly,duly,duly,349,291,316,Y
266,34,Female,Graduate,married,3555,3496,2370,2144,duly,duly,delay,141,119,85,Y
267,40,Female,Graduate,single,3555,3728,3646,1461,duly,duly,duly,159,89,761,Y
268,52,Female,HighSchool,married,711,279,310,325,delay,delay,delay,39,18,18,Y
269,45,Female,College,single,25596,89,89,0,,delay,,89,0,0,Y
270,22,Female,College,single,2133,2189,2072,2067,delay,delay,delay,0,121,43,Y
271,46,Male,Others,married,14220,7031,6055,5480,duly,duly,duly,282,249,924,Y
272,31,Male,College,single,7110,2617,2631,2772,delay,delay,delay,75,142,36,Y
273,32,Male,HighSchool,married,22041,11560,6923,2558,duly,duly,duly,508,249,107,Y
274,36,Female,Graduate,single,14220,0,0,0,,,,0,0,0,N
275,38,Male,College,married,3555,1995,2225,2314,delay,delay,delay,164,92,96,N
276,47,Female,HighSchool,single,10665,10919,10795,10790,duly,duly,duly,498,434,419,Y
277,26,Female,Graduate,single,14220,7574,6685,6962,duly,duly,duly,239,246,239,Y
278,41,Female,College,single,14931,15602,6314,2852,duly,duly,duly,462,178,213,Y
279,28,Female,Graduate,single,12798,11374,11704,12139,delay,delay,delay,476,437,444,Y
280,29,Male,College,single,4266,3420,3549,3663,delay,delay,delay,142,110,107,Y
281,39,Female,College,married,19908,13417,13651,14465,delay,delay,delay,569,515,526,N
282,29,Male,Graduate,single,1422,597,95,250,duly,duly,duly,566,250,24,Y
283,29,Female,HighSchool,single,7821,1630,1747,1836,delay,duly,duly,71,110,142,Y
284,30,Female,HighSchool,married,3555,3477,3526,3356,duly,duly,duly,132,135,120,Y
285,38,Female,Graduate,married,4266,28,42,28,delay,delay,duly,28,14,17,Y
286,27,Female,Graduate,single,2133,141,88,0,duly,duly,,59,53,0,Y
287,34,Female,College,single,20619,20357,20662,17186,duly,duly,duly,871,675,651,Y
288,38,Male,College,single,711,566,645,674,duly,duly,duly,81,24,21,N
289,49,Female,College,single,6399,61,0,0,duly,,,0,0,396,Y
290,29,Female,College,married,11376,403,377,219,duly,delay,duly,221,1,3,Y
291,30,Male,College,single,1422,1375,1401,1427,duly,duly,duly,152,254,216,Y
292,30,Male,Graduate,single,9243,9352,9090,9512,duly,delay,delay,434,537,160,Y
293,42,Female,College,married,35550,4802,7444,3594,duly,duly,duly,4444,716,3547,Y
294,28,Female,Graduate,single,1422,1360,1007,1414,delay,duly,duly,376,704,747,N
295,33,Male,College,married,24885,396,837,417,duly,duly,duly,762,679,256,Y
296,52,Male,College,single,6399,6211,6316,6158,duly,duly,duly,265,214,219,Y
297,42,Female,HighSchool,married,3555,3607,3410,787,duly,duly,duly,143,77,48,Y
298,26,Male,HighSchool,single,2133,1974,1591,1736,duly,duly,duly,142,412,76,Y
299,37,Female,College,married,5688,5768,5531,2444,delay,delay,duly,110,178,2666,N
300,40,Male,Graduate,single,14931,23,23,23,duly,duly,duly,23,23,23,N
301,35,Female,College,married,11376,69,41,55,duly,duly,duly,55,69,41,N
302,40,Male,HighSchool,others,6399,3802,3981,4105,duly,duly,duly,161,166,253,N
303,53,Female,HighSchool,married,3555,0,0,0,delay,,,0,0,0,N
304,27,Female,Graduate,single,25596,35,8882,3458,duly,duly,duly,6242,49,2266,Y
305,35,Male,College,married,13509,17492,14975,13779,delay,delay,delay,0,0,5297,N
306,42,Female,College,married,31284,1062,201,351,delay,,,462,1,4688,Y
307,35,Female,College,married,7821,6020,5911,5719,duly,duly,delay,251,323,129,Y
308,32,Female,College,married,4977,1208,1349,1537,duly,delay,delay,160,107,36,N
309,30,Male,College,others,3555,5167,2371,1272,duly,duly,duly,177,84,52,Y
310,42,Male,College,married,44082,5015,4258,4430,duly,duly,duly,213,171,196,Y
311,30,Female,Graduate,single,14220,700,1261,205,duly,duly,duly,1412,189,307,Y
312,44,Female,College,married,16353,214,870,7,duly,duly,duly,195,689,278,N
313,21,Male,College,single,1422,1390,1465,711,delay,delay,duly,249,0,0,N
314,37,Female,Others,married,7821,4980,4595,4349,duly,duly,duly,197,156,185,Y
315,30,Female,Graduate,single,12798,184,82,283,,,,179,209,204,Y
316,36,Male,Graduate,single,22752,9794,6981,3559,duly,duly,duly,306,87,1959,Y
317,31,Female,College,single,7821,6825,6466,5557,duly,duly,duly,306,209,215,Y
318,55,Male,Graduate,married,27018,9144,10321,4440,duly,duly,duly,1151,1067,116,Y
319,45,Female,College,married,2133,1908,1765,1132,duly,duly,duly,321,73,19,Y
320,23,Male,HighSchool,single,711,611,675,677,duly,duly,duly,105,57,13,Y
321,30,Female,Graduate,married,14220,398,112,382,,,,310,393,287,Y
322,40,Female,College,married,14220,19,172,436,,,,84,122,402,Y
323,39,Male,College,married,7821,3193,2537,2427,duly,duly,duly,214,213,249,Y
324,23,Female,College,single,3555,3561,2035,1327,duly,duly,duly,171,96,71,Y
325,37,Female,Graduate,married,19908,460,109,80,delay,,duly,448,119,79,Y
326,31,Female,Graduate,married,27018,16048,15121,14007,duly,duly,delay,711,533,569,Y
327,26,Male,College,single,7110,4355,3546,3728,duly,duly,duly,249,142,139,Y
328,27,Female,College,single,2133,396,554,145,duly,duly,duly,153,84,133,Y
329,23,Female,Graduate,single,1422,12,96,110,delay,duly,duly,48,73,60,Y
330,24,Female,College,single,3555,67,73,79,duly,duly,duly,46,38,75,Y
331,50,Female,College,single,22752,483,12,45,duly,duly,duly,119,53,380,Y
332,23,Female,HighSchool,single,3555,1785,1951,1721,delay,delay,duly,182,36,60,N
333,27,Female,College,single,9243,0,0,0,delay,,,0,0,0,N
334,22,Female,College,single,711,198,369,553,duly,duly,duly,91,98,111,N
335,39,Female,Graduate,married,18486,344,137,185,,,,186,159,183,N
336,41,Female,Graduate,married,7110,3534,333,657,duly,duly,duly,93,1370,44,Y
337,23,Female,College,single,711,292,263,270,delay,delay,delay,0,0,36,N
338,54,Male,HighSchool,married,3555,2783,2929,3144,duly,duly,duly,142,129,128,Y
339,22,Female,College,single,1422,295,65,100,duly,,duly,36,118,107,Y
340,24,Female,College,married,2844,1860,2135,2220,delay,delay,delay,224,85,107,N
341,46,Female,College,married,29862,24642,19432,13692,duly,duly,duly,1014,498,499,Y
342,25,Female,Graduate,single,1422,82,158,23,duly,duly,duly,127,54,23,Y
343,29,Male,HighSchool,single,43371,603,349,4577,duly,duly,duly,394,2656,357,Y
