ID,AGE,SEX,EDU,MAR,CRE,BILL_1,BILL_2,BILL_3,STA_1,STA_2,STA_3,AMT_1,AMT_2,AMT_3,PAY
31,27,Famale,Graduate,single,230000.0,16646.0,17265.0,13266.0,duly,duly,duly,17270.0,13281.0,15339.0,Y
32,33,Male,College,single,50000.0,30518.0,29618.0,22102.0,delay,duly,duly,1718.0,1500.0,1000.0,N
33,32,Male,Graduate,single,100000.0,93036.0,84071.0,82880.0,duly,duly,duly,3023.0,3511.0,3302.0,Y
34,54,Famale,College,married,500000.0,10929.0,4152.0,22722.0,duly,duly,duly,4152.0,22827.0,7521.0,Y
35,58,Male,Graduate,married,500000.0,13709.0,5006.0,31130.0,duly,duly,duly,5006.0,31178.0,3180.0,Y
36,30,Male,Graduate,single,160000.0,30265.0,-131.0,-527.0,duly,duly,duly,131.0,396.0,396.0,Y
37,40,Male,College,married,280000.0,186503.0,181328.0,180422.0,duly,duly,duly,8026.0,8060.0,6300.0,Y
38,22,Famale,College,single,60000.0,15054.0,9806.0,11068.0,duly,duly,duly,1500.0,1518.0,2043.0,Y
39,25,Male,Graduate,single,50000.0,0.0,780.0,0.0,delay,duly,duly,780.0,0.0,0.0,N
40,31,Male,Graduate,single,280000.0,498.0,9075.0,4641.0,duly,duly,delay,9075.0,0.0,9976.0,Y
41,33,Male,Graduate,single,360000.0,218668.0,221296.0,206895.0,duly,duly,duly,10000.0,7000.0,6000.0,Y
42,25,Famale,Graduate,single,70000.0,67521.0,66999.0,63949.0,duly,duly,duly,3000.0,4500.0,4042.0,Y
43,22,Male,College,single,10000.0,1877.0,3184.0,6003.0,duly,duly,duly,1500.0,2927.0,1000.0,Y
44,37,Famale,College,married,140000.0,59504.0,61544.0,62925.0,duly,duly,duly,3000.0,3000.0,3000.0,Y
45,30,Famale,Graduate,single,40000.0,18927.0,21295.0,25921.0,duly,duly,duly,3000.0,5000.0,0.0,Y
46,29,Male,Graduate,single,210000.0,0.0,0.0,0.0,duly,duly,duly,0.0,0.0,0.0,N
47,22,Famale,Graduate,single,20000.0,14028.0,16484.0,15800.0,duly,duly,delay,3000.0,0.0,16741.0,N
49,32,Male,College,single,380000.0,22401.0,21540.0,15134.0,duly,duly,duly,21540.0,15138.0,24677.0,Y
50,24,Male,Graduate,single,20000.0,17447.0,18479.0,19476.0,duly,duly,duly,1318.0,1315.0,704.0,Y
51,42,Male,HighSchool,single,70000.0,37042.0,36171.0,38355.0,delay,delay,delay,0.0,3100.0,2000.0,N
53,49,Famale,College,married,310000.0,13465.0,7867.0,7600.0,duly,duly,duly,7875.0,7600.0,11185.0,Y
54,25,Famale,Graduate,single,180000.0,41402.0,41742.0,42758.0,delay,delay,duly,1300.0,2010.0,1762.0,Y
55,29,Famale,Graduate,single,150000.0,46224.0,34993.0,31434.0,delay,duly,duly,1600.0,1718.0,1049.0,Y
56,45,Famale,Graduate,married,500000.0,1905.0,3640.0,162.0,duly,duly,duly,3640.0,162.0,0.0,Y
57,34,Famale,HighSchool,married,180000.0,16386.0,15793.0,8441.0,duly,duly,duly,8500.0,1500.0,7500.0,Y
58,34,Famale,College,married,180000.0,175886.0,173440.0,172308.0,duly,duly,duly,8083.0,7296.0,5253.0,Y
59,34,Famale,Graduate,single,200000.0,1587.0,1098.0,782.0,duly,delay,delay,0.0,0.0,700.0,Y
60,29,Famale,College,married,400000.0,400134.0,398857.0,404205.0,duly,duly,duly,17000.0,15029.0,30000.0,Y
61,28,Famale,HighSchool,married,500000.0,22848.0,23638.0,18878.0,duly,duly,duly,1516.0,1300.0,1000.0,N
62,39,Male,College,married,70000.0,70800.0,72060.0,69938.0,duly,duly,duly,4025.0,2095.0,1000.0,Y
63,29,Male,Graduate,single,50000.0,24987.0,24300.0,26591.0,delay,delay,delay,0.0,2700.0,0.0,N
64,46,Famale,College,married,50000.0,28718.0,29166.0,0.0,duly,duly,duly,1000.0,0.0,0.0,N
65,51,Famale,College,married,130000.0,99.0,0.0,0.0,duly,duly,duly,0.0,0.0,0.0,Y
66,57,Male,Graduate,married,200000.0,152519.0,148751.0,144076.0,duly,duly,duly,0.0,0.0,8222.0,N
67,56,Male,College,married,10000.0,2097.0,4193.0,3978.0,delay,delay,delay,2300.0,0.0,150.0,N
68,30,Famale,Graduate,single,210000.0,300.0,300.0,1159.0,delay,duly,duly,300.0,1159.0,2280.0,Y
69,29,Famale,HighSchool,single,130000.0,-190.0,-9850.0,-9850.0,delay,duly,duly,0.0,0.0,20161.0,Y
71,31,Male,Graduate,single,80000.0,780.0,0.0,390.0,duly,duly,duly,0.0,390.0,390.0,Y
72,29,Male,College,single,320000.0,58267.0,59246.0,60184.0,delay,delay,delay,2500.0,2500.0,0.0,N
73,32,Famale,College,married,200000.0,9076.0,5787.0,-684.0,duly,duly,duly,5818.0,15.0,9102.0,Y
74,37,Famale,Graduate,single,290000.0,0.0,0.0,3155.0,delay,duly,duly,0.0,3155.0,0.0,Y
75,32,Male,Graduate,single,340000.0,3048.0,5550.0,23337.0,duly,duly,duly,5713.0,23453.0,4314.0,Y
76,24,Male,College,single,20000.0,14619.0,17216.0,16642.0,duly,duly,delay,2850.0,0.0,610.0,Y
77,25,Male,HighSchool,single,50000.0,42838.0,37225.0,36087.0,duly,duly,duly,1759.0,1779.0,320.0,Y
78,45,Famale,Graduate,married,300000.0,291.0,291.0,291.0,duly,duly,duly,291.0,291.0,291.0,Y
79,22,Famale,College,single,30000.0,28387.0,29612.0,30326.0,duly,duly,duly,1686.0,1400.0,560.0,N
80,44,Famale,College,single,240000.0,0.0,0.0,0.0,delay,duly,duly,0.0,0.0,0.0,N
82,26,Famale,Graduate,single,360000.0,23411.0,27796.0,30400.0,duly,duly,duly,4796.0,3400.0,3100.0,Y
83,30,Male,HighSchool,single,60000.0,26324.0,27471.0,28108.0,duly,duly,duly,1576.0,1213.0,648.0,N
84,44,Famale,College,married,400000.0,131595.0,139060.0,126819.0,duly,duly,delay,10700.0,3.0,3050.0,Y
85,49,Famale,HighSchool,single,50000.0,48909.0,47863.0,21489.0,duly,duly,duly,1676.0,1302.0,700.0,Y
86,33,Male,College,single,160000.0,130028.0,107808.0,71934.0,duly,duly,duly,4400.0,3547.0,80000.0,Y
87,45,Famale,Graduate,married,360000.0,390.0,1170.0,780.0,duly,duly,delay,1170.0,0.0,0.0,N
88,32,Famale,College,single,160000.0,3826.0,4751.0,6604.0,duly,duly,duly,1147.0,2000.0,2000.0,Y
89,35,Famale,Graduate,married,130000.0,81313.0,117866.0,17740.0,duly,duly,duly,40000.0,5000.0,1330.0,Y
90,44,Male,HighSchool,single,20000.0,8583.0,8303.0,9651.0,delay,delay,duly,0.0,1651.0,1000.0,Y
91,53,Male,Graduate,married,200000.0,138180.0,140774.0,142460.0,delay,delay,delay,6300.0,5500.0,5500.0,N
92,39,Famale,Graduate,single,280000.0,7524.0,0.0,3968.0,duly,duly,duly,0.0,3968.0,0.0,Y
93,27,Famale,Graduate,single,100000.0,-2000.0,5555.0,0.0,duly,duly,duly,7555.0,0.0,0.0,Y
94,37,Famale,College,married,160000.0,880.0,1602.0,840.0,duly,duly,duly,1602.0,840.0,840.0,Y
95,23,Famale,College,single,60000.0,45648.0,46850.0,47214.0,duly,duly,duly,1937.0,1301.0,682.0,Y
96,35,Male,College,single,90000.0,83725.0,85996.0,87653.0,duly,duly,duly,3621.0,3597.0,1179.0,Y
97,43,Male,Graduate,married,360000.0,3967.0,8322.0,3394.0,duly,duly,duly,8339.0,3394.0,12902.0,Y
98,27,Male,Graduate,single,150000.0,86009.0,86108.0,89006.0,duly,duly,duly,4031.0,10006.0,3266.0,Y
99,22,Famale,HighSchool,married,50000.0,18722.0,18160.0,16997.0,duly,duly,duly,1411.0,1194.0,379.0,Y
100,38,Male,College,married,20000.0,17973.0,19367.0,19559.0,duly,duly,duly,1699.0,1460.0,626.0,N
101,32,Male,Graduate,single,140000.0,672.0,10212.0,850.0,duly,duly,duly,10212.0,850.0,415.0,Y
102,30,Famale,Graduate,single,380000.0,-81.0,-303.0,32475.0,duly,duly,duly,223.0,33178.0,1171.0,Y
103,63,Male,Graduate,married,480000.0,422069.0,431342.0,479432.0,duly,duly,duly,16078.0,55693.0,17000.0,Y
104,22,Famale,HighSchool,single,50000.0,44698.0,42254.0,38347.0,duly,duly,duly,1767.0,1362.0,1002.0,N
105,26,Famale,College,single,60000.0,56685.0,55208.0,59175.0,delay,delay,delay,0.0,5000.0,2511.0,Y
106,24,Famale,College,single,70000.0,5580.0,0.0,0.0,duly,duly,duly,0.0,0.0,0.0,Y
107,36,Famale,College,married,80000.0,6108.0,2861.0,3277.0,duly,duly,duly,2861.0,3279.0,3319.0,Y
108,52,Male,Graduate,single,350000.0,713.0,2272.0,722.0,duly,duly,duly,2272.0,722.0,867.0,Y
109,38,Male,College,single,130000.0,171438.0,178382.0,39940.0,duly,duly,duly,10908.0,0.0,133657.0,Y
110,35,Male,College,married,360000.0,-103.0,-103.0,-103.0,delay,duly,duly,0.0,0.0,0.0,Y
111,31,Famale,Graduate,married,330000.0,105879.0,108431.0,105594.0,duly,duly,delay,9260.0,0.0,3593.0,Y
112,47,Male,HighSchool,married,50000.0,13244.0,14722.0,15181.0,duly,duly,delay,2000.0,1000.0,1000.0,Y
113,41,Male,College,married,280000.0,135673.0,138532.0,134813.0,delay,delay,delay,6500.0,0.0,14254.0,Y
114,24,Famale,Graduate,single,100000.0,52128.0,52692.0,54477.0,duly,duly,duly,2000.0,2677.0,3076.0,Y
115,41,Male,College,single,50000.0,19015.0,19294.0,20259.0,duly,duly,duly,1340.0,1305.0,700.0,Y
116,24,Male,Graduate,single,30000.0,18199.0,17618.0,18631.0,duly,delay,duly,0.0,1312.0,3000.0,N
117,28,Male,Graduate,single,240000.0,326.0,326.0,326.0,duly,duly,duly,326.0,326.0,5676.0,Y
118,26,Male,College,single,80000.0,14029.0,15493.0,16630.0,delay,duly,duly,2000.0,1700.0,1000.0,N
119,34,Male,College,married,400000.0,19660.0,9666.0,11867.0,duly,duly,duly,9677.0,11867.0,7839.0,Y
120,38,Famale,College,single,240000.0,50254.0,51445.0,53015.0,duly,duly,duly,2000.0,3000.0,3000.0,Y
121,37,Male,HighSchool,single,50000.0,46004.0,45976.0,48953.0,delay,delay,delay,1000.0,4035.0,1000.0,N
122,40,Male,Graduate,married,450000.0,0.0,0.0,0.0,delay,duly,duly,0.0,0.0,0.0,N
123,48,Famale,Graduate,married,110000.0,0.0,0.0,0.0,delay,duly,duly,0.0,0.0,0.0,Y
124,35,Famale,College,married,310000.0,304991.0,311243.0,306314.0,delay,duly,duly,13019.0,11128.0,8407.0,N
125,27,Male,Graduate,single,20000.0,19115.0,18962.0,19298.0,duly,duly,duly,1404.0,1130.0,600.0,Y
126,23,Male,College,single,20000.0,0.0,0.0,0.0,delay,duly,duly,0.0,0.0,0.0,Y
127,52,Male,HighSchool,single,200000.0,110151.0,99530.0,98951.0,duly,duly,duly,3568.0,3585.0,3602.0,Y
128,36,Male,Graduate,married,180000.0,163736.0,116422.0,99278.0,duly,duly,duly,4655.0,2690.0,2067.0,N
129,51,Male,College,married,50000.0,3347.0,3899.0,4503.0,duly,duly,duly,1000.0,1066.0,1300.0,N
130,55,Male,HighSchool,married,60000.0,60521.0,61450.0,57244.0,delay,delay,delay,2504.0,7.0,1200.0,Y
131,23,Famale,Graduate,single,30000.0,4000.0,5645.0,3508.0,delay,duly,duly,5645.0,3508.0,27.0,Y
132,41,Male,Graduate,single,240000.0,95.0,2622.0,3301.0,delay,duly,duly,2622.0,3301.0,0.0,Y
133,34,Male,College,married,420000.0,253454.0,247743.0,229049.0,duly,duly,duly,9744.0,9553.0,7603.0,Y
134,46,Male,HighSchool,married,330000.0,227389.0,228719.0,229644.0,duly,duly,duly,8210.0,8095.0,8025.0,Y
135,22,Famale,College,single,30000.0,28452.0,26145.0,26712.0,duly,duly,duly,2000.0,1400.0,0.0,Y
136,34,Male,College,married,240000.0,10674.0,12035.0,13681.0,duly,duly,duly,1500.0,1800.0,0.0,Y
137,27,Male,Graduate,single,150000.0,17444.0,19342.0,22000.0,duly,duly,duly,2500.0,3000.0,3000.0,Y
138,33,Famale,College,married,210000.0,7166.0,7997.0,8792.0,duly,duly,duly,1500.0,1500.0,1000.0,Y
139,51,Famale,HighSchool,married,50000.0,752.0,300.0,5880.0,duly,duly,duly,300.0,5880.0,0.0,N
140,24,Male,Graduate,single,50000.0,50801.0,50143.0,49586.0,duly,duly,duly,2360.0,1700.0,1000.0,Y
141,47,Male,Graduate,single,240000.0,0.0,0.0,0.0,delay,duly,duly,0.0,0.0,0.0,N
142,28,Male,College,single,180000.0,1832.0,0.0,832.0,duly,duly,duly,0.0,416.0,332.0,Y
143,23,Male,College,single,50000.0,10131.0,10833.0,20583.0,delay,delay,delay,1000.0,10000.0,400.0,Y
144,29,Male,College,single,170000.0,12159.0,10000.0,10000.0,duly,duly,duly,10000.0,10000.0,10000.0,Y
145,29,Male,Graduate,single,20000.0,1199.0,15586.0,344.0,duly,duly,duly,15586.0,344.0,2340.0,Y
146,28,Male,Graduate,single,50000.0,4999.0,5913.0,7315.0,duly,duly,duly,1000.0,1500.0,2000.0,Y
147,27,Famale,College,single,170000.0,19269.0,20313.0,20852.0,duly,duly,duly,1661.0,1200.0,351.0,N
148,34,Male,Graduate,single,200000.0,197236.0,176192.0,93069.0,delay,delay,duly,8000.0,5000.0,55500.0,Y
149,23,Famale,College,married,80000.0,9168.0,10522.0,10205.0,delay,delay,delay,1650.0,0.0,0.0,Y
150,60,Famale,Graduate,married,260000.0,-1100.0,-1100.0,21400.0,delay,duly,duly,0.0,22500.0,0.0,Y
151,32,Male,College,married,140000.0,86627.0,78142.0,68336.0,duly,duly,duly,3455.0,3110.0,5000.0,Y
152,25,Male,Graduate,single,80000.0,42444.0,55744.0,43476.0,duly,duly,duly,30000.0,3000.0,6000.0,Y
153,41,Male,Graduate,single,350000.0,208.0,2906.0,1000.0,delay,duly,duly,2906.0,1000.0,630.0,Y
154,56,Famale,College,married,280000.0,208775.0,182350.0,132257.0,duly,duly,duly,8042.0,6700.0,5137.0,Y
155,26,Famale,HighSchool,single,30000.0,9014.0,10406.0,11427.0,duly,duly,duly,1700.0,1500.0,1000.0,Y
156,34,Male,Graduate,married,140000.0,23944.0,28049.0,32073.0,duly,duly,duly,5000.0,5000.0,11885.0,Y
157,37,Famale,Graduate,single,200000.0,105420.0,102870.0,89643.0,duly,duly,duly,4000.0,3250.0,3250.0,Y
158,30,Famale,HighSchool,single,200000.0,196031.0,196143.0,189524.0,duly,duly,duly,7300.0,7108.0,7680.0,Y
159,45,Male,HighSchool,married,210000.0,115785.0,122904.0,129847.0,delay,delay,delay,10478.0,10478.0,11078.0,N
160,57,Male,HighSchool,married,50000.0,12854.0,12362.0,13447.0,delay,delay,duly,0.0,1600.0,500.0,Y
161,41,Male,Graduate,single,30000.0,24357.0,27453.0,26718.0,delay,delay,delay,3500.0,0.0,2200.0,Y
162,27,Male,College,single,50000.0,390.0,390.0,780.0,delay,duly,duly,390.0,780.0,216.0,Y
163,47,Male,HighSchool,married,290000.0,1234.0,396.0,396.0,duly,duly,duly,396.0,396.0,792.0,Y
164,34,Famale,Graduate,married,250000.0,141223.0,156858.0,151841.0,duly,duly,delay,17994.0,0.0,5469.0,Y
165,46,Famale,College,married,60000.0,21148.0,23803.0,24908.0,duly,duly,duly,3000.0,1500.0,1500.0,Y
166,27,Famale,Graduate,single,110000.0,101640.0,104795.0,104855.0,duly,duly,duly,5500.0,3900.0,3000.0,Y
167,50,Male,Graduate,single,370000.0,6093.0,15130.0,8204.0,duly,duly,duly,15383.0,8204.0,15413.0,Y
168,27,Male,College,married,100000.0,102349.0,96847.0,58824.0,duly,delay,delay,3166.0,0.0,1330.0,Y
169,35,Famale,College,married,90000.0,72112.0,73854.0,75526.0,duly,duly,duly,3500.0,3500.0,3652.0,Y
170,22,Famale,College,single,50000.0,28040.0,29092.0,29366.0,duly,duly,duly,1510.0,1442.0,982.0,Y
171,37,Male,College,single,270000.0,37695.0,33397.0,30534.0,duly,duly,duly,5000.0,2000.0,3000.0,Y
172,30,Famale,Graduate,single,300000.0,688.0,3280.0,0.0,duly,duly,duly,3288.0,0.0,4340.0,Y
173,22,Famale,College,single,50000.0,8567.0,15273.0,11650.0,duly,duly,duly,15000.0,1000.0,149.0,Y
174,24,Famale,Graduate,single,50000.0,-709.0,-709.0,-709.0,delay,duly,duly,0.0,0.0,0.0,N
175,29,Male,Graduate,single,360000.0,0.0,0.0,77.0,delay,duly,duly,0.0,77.0,0.0,Y
176,56,Male,HighSchool,married,130000.0,64617.0,65978.0,67282.0,delay,delay,delay,3000.0,3000.0,3000.0,N
177,30,Male,Graduate,single,80000.0,6187.0,100.0,600.0,duly,duly,duly,504.0,500.0,1000.0,Y
178,30,Male,College,single,50000.0,48860.0,47801.0,48363.0,delay,delay,duly,0.0,1500.0,1000.0,Y
179,22,Famale,College,single,20000.0,16001.0,12622.0,13221.0,duly,duly,duly,1212.0,1201.0,500.0,Y
180,29,Famale,College,married,80000.0,77883.0,81811.0,80250.0,duly,duly,delay,5800.0,1000.0,600.0,Y
181,37,Male,Graduate,single,240000.0,12212.0,26578.0,25331.0,duly,duly,delay,15000.0,0.0,2000.0,Y
182,35,Famale,HighSchool,single,80000.0,49608.0,12412.0,14873.0,duly,duly,duly,12500.0,6500.0,3000.0,Y
183,47,Famale,Graduate,married,500000.0,56422.0,110616.0,110340.0,duly,duly,duly,70010.0,30357.0,30000.0,Y
184,24,Famale,College,married,60000.0,58024.0,57891.0,48839.0,duly,duly,duly,2500.0,1600.0,3000.0,N
185,25,Male,College,single,20000.0,10642.0,11677.0,13070.0,duly,duly,duly,1200.0,1593.0,601.0,Y
186,38,Famale,College,married,100000.0,14483.0,13961.0,15323.0,delay,delay,duly,0.0,1600.0,1500.0,N
187,32,Famale,Graduate,single,360000.0,2616.0,57077.0,5287.0,delay,duly,duly,57087.0,5295.0,68454.0,Y
188,47,Famale,HighSchool,single,200000.0,199436.0,202947.0,193936.0,delay,delay,delay,8214.0,7000.0,6800.0,N
189,34,Famale,College,married,130000.0,0.0,5396.0,10270.0,delay,duly,duly,5396.0,5000.0,3500.0,Y
190,31,Famale,College,single,20000.0,21703.0,21087.0,21461.0,delay,delay,delay,0.0,1000.0,0.0,Y
191,32,Male,Graduate,single,310000.0,59901.0,62147.0,62102.0,duly,duly,duly,10020.0,6031.0,10057.0,Y
192,27,Famale,Graduate,single,60000.0,19625.0,20347.0,21669.0,delay,duly,duly,1342.0,1664.0,2000.0,N
193,29,Famale,Graduate,single,180000.0,11386.0,199.0,0.0,duly,duly,duly,199.0,0.0,0.0,Y
194,24,Famale,Graduate,single,180000.0,14670.0,22087.0,21282.0,duly,duly,delay,37867.0,0.0,200.0,Y
195,36,Male,College,married,50000.0,47790.0,18114.0,18250.0,duly,duly,duly,2000.0,1000.0,2000.0,Y
196,24,Famale,Graduate,single,50000.0,36166.0,37188.0,37680.0,delay,delay,delay,1900.0,1400.0,1700.0,N
197,34,Famale,College,married,150000.0,0.0,0.0,0.0,duly,duly,duly,0.0,0.0,116.0,Y
198,22,Famale,Graduate,single,20000.0,18553.0,19446.0,19065.0,duly,duly,duly,1500.0,1032.0,541.0,Y
199,34,Famale,Graduate,married,500000.0,412.0,138.0,2299.0,duly,duly,duly,138.0,2299.0,1251.0,Y
200,22,Famale,HighSchool,single,30000.0,29010.0,29256.0,28122.0,delay,delay,delay,1000.0,85.0,1714.0,N
201,38,Famale,Graduate,married,180000.0,750.0,0.0,0.0,duly,duly,duly,0.0,0.0,0.0,Y
202,31,Male,Graduate,single,140000.0,27123.0,27299.0,17985.0,duly,duly,delay,25000.0,0.0,3000.0,Y
203,26,Famale,Graduate,single,140000.0,13424.0,18000.0,13001.0,duly,duly,duly,10000.0,13001.0,5841.0,Y
204,26,Male,College,single,120000.0,107314.0,110578.0,113736.0,duly,duly,duly,5000.0,5000.0,4152.0,Y
205,48,Famale,College,married,360000.0,226430.0,231878.0,234192.0,duly,duly,duly,9100.0,7300.0,5800.0,Y
206,43,Male,HighSchool,married,20000.0,227.0,20351.0,20237.0,duly,duly,duly,22359.0,1305.0,1258.0,Y
207,47,Male,Graduate,married,100000.0,390.0,1473.0,390.0,duly,duly,duly,1473.0,390.0,390.0,Y
208,41,Famale,College,married,210000.0,3088.0,1586.0,343.0,duly,duly,duly,1586.0,343.0,3763.0,N
209,24,Famale,College,single,80000.0,81625.0,81554.0,79599.0,duly,duly,duly,3200.0,3000.0,2038.0,N
210,50,Famale,Graduate,married,330000.0,8872.0,4337.0,2854.0,duly,duly,duly,4345.0,2854.0,1702.0,Y
211,24,Male,Graduate,single,220000.0,105607.0,108917.0,111520.0,duly,duly,duly,5000.0,5050.0,8303.0,Y
212,38,Famale,Graduate,married,210000.0,0.0,0.0,250.0,delay,duly,duly,0.0,250.0,0.0,N
213,43,Famale,HighSchool,married,40000.0,38257.0,38901.0,38103.0,duly,duly,duly,1700.0,1504.0,1200.0,Y
214,39,Male,College,single,30000.0,28347.0,28108.0,18388.0,duly,duly,duly,3036.0,2309.0,0.0,Y
215,27,Male,College,single,470000.0,296573.0,303320.0,307843.0,delay,delay,delay,13000.0,11001.0,0.0,Y
216,42,Male,HighSchool,married,30000.0,390.0,390.0,390.0,duly,duly,duly,390.0,390.0,240.0,Y
217,36,Famale,College,married,240000.0,-946.0,-946.0,-946.0,delay,duly,duly,0.0,0.0,0.0,N
218,36,Male,College,single,80000.0,79278.0,78501.0,78534.0,delay,duly,duly,3100.0,3500.0,3400.0,Y
219,31,Famale,HighSchool,single,110000.0,89989.0,84229.0,79288.0,duly,duly,duly,4000.0,5000.0,3000.0,Y
220,38,Famale,Graduate,single,310000.0,1424.0,4542.0,126.0,duly,duly,duly,4542.0,126.0,0.0,Y
221,40,Famale,Graduate,married,360000.0,105167.0,115468.0,112157.0,delay,delay,delay,12000.0,0.0,5900.0,N
222,45,Famale,HighSchool,single,330000.0,335196.0,334954.0,335527.0,duly,duly,duly,12388.0,12378.0,12116.0,Y
223,35,Famale,College,single,300000.0,291619.0,297268.0,205629.0,duly,duly,duly,12019.0,9006.0,17000.0,Y
224,33,Famale,College,single,320000.0,91653.0,94037.0,108597.0,duly,duly,duly,10042.0,18832.0,2117.0,Y
225,37,Famale,HighSchool,single,50000.0,52626.0,51537.0,49205.0,delay,delay,delay,0.0,24.0,1500.0,N
226,28,Famale,Graduate,single,170000.0,130370.0,131199.0,128900.0,duly,duly,duly,6530.0,4860.0,22500.0,Y
227,44,Male,HighSchool,married,350000.0,3265.0,2686.0,1864.0,duly,duly,duly,2686.0,1864.0,569.0,Y
228,37,Male,College,married,20000.0,16455.0,16511.0,18902.0,duly,duly,duly,1609.0,3000.0,663.0,Y
229,23,Male,College,single,50000.0,49758.0,48456.0,44116.0,delay,duly,duly,2401.0,2254.0,2004.0,N
230,24,Famale,HighSchool,single,20000.0,19154.0,18165.0,17233.0,delay,delay,duly,0.0,1333.0,500.0,Y
231,24,Famale,Graduate,single,50000.0,35084.0,35796.0,30937.0,duly,duly,duly,2090.0,2002.0,1002.0,Y
232,23,Male,College,single,20000.0,20235.0,17132.0,16856.0,delay,delay,duly,0.0,1200.0,1000.0,N
233,26,Male,College,married,50000.0,102800.0,0.0,0.0,duly,duly,duly,0.0,0.0,2624.0,Y
234,34,Male,College,single,190000.0,129801.0,131383.0,134379.0,delay,duly,duly,5000.0,5000.0,10000.0,N
235,33,Famale,College,married,60000.0,58203.0,36367.0,20934.0,duly,duly,duly,1506.0,1298.0,1000.0,Y
236,35,Male,Graduate,single,80000.0,7988.0,3977.0,6848.0,duly,duly,duly,3983.0,6853.0,1719.0,Y
237,27,Famale,College,single,150000.0,127402.0,110050.0,51547.0,duly,duly,duly,4500.0,1745.0,1566.0,Y
238,31,Famale,Graduate,single,210000.0,1440.0,0.0,7422.0,duly,duly,duly,0.0,7422.0,893.0,Y
239,50,Famale,HighSchool,married,240000.0,234205.0,231669.0,214642.0,duly,duly,duly,10116.0,9150.0,8008.0,N
241,28,Famale,Graduate,single,60000.0,21501.0,20650.0,0.0,delay,delay,delay,0.0,0.0,0.0,Y
