ID,CRE,BILL_1,BILL_2,BILL_3,STA_1,STA_2,STA_3,AMT_1,AMT_2,AMT_3
44,2133,237,605,770,duly,duly,duly,316,117,31
45,14220,5158,4450,3652,duly,duly,duly,267,160,142
46,17064,-11,-11,-11,,,delay,0,0,0
47,12087,395,348,197,duly,duly,duly,107,197,189
48,6399,5869,6127,6309,duly,delay,delay,292,256,221
49,14220,141,93,233,delay,duly,duly,78,31,322
50,7110,886,631,918,duly,duly,duly,112,146,50
51,9954,5107,8262,6799,duly,duly,duly,4944,272,317
52,2133,589,725,366,duly,duly,duly,142,7,0
53,7110,5995,5836,5936,delay,delay,delay,0,220,117
54,24885,334,270,25,duly,duly,duly,382,153,121
55,22041,4943,4563,785,duly,duly,duly,2571,249,1183
56,3555,1240,1374,1361,duly,duly,duly,128,71,64
57,4266,1965,2185,2146,duly,delay,delay,155,38,125
58,5688,2482,4441,4394,duly,delay,delay,1920,78,263
59,9243,8691,6830,9136,duly,duly,duly,403,221,340
60,17064,334,173,172,duly,duly,delay,302,178,65
61,14220,654,1590,1697,duly,duly,duly,275,661,202
62,35550,114,1797,1447,,,duly,535,1955,1141
63,31995,22180,20327,19614,duly,duly,duly,924,1067,2133
64,25596,12,12,12,duly,duly,duly,12,12,12
65,5688,4674,3358,2087,duly,duly,duly,223,57,50
66,25596,100,192,100,delay,delay,duly,100,7,0
67,18486,178,0,0,delay,delay,delay,0,0,0
68,16353,345,220,0,duly,duly,delay,80,0,0
69,12087,4778,4808,4085,duly,duly,duly,190,194,194
70,25596,0,0,0,delay,,duly,0,0,0
71,9243,8892,9279,9180,duly,delay,delay,483,320,391
72,7821,7609,6990,4888,duly,duly,delay,365,301,107
73,11376,11402,11631,11131,delay,delay,delay,466,207,409
74,11376,4773,5020,5288,delay,delay,delay,188,281,203
75,20619,24,22,123,duly,duly,duly,22,112,11
76,3555,3454,3486,4021,duly,duly,duly,143,178,279
77,23463,461,45,257,,,duly,321,70,527
78,22752,1689,1566,1670,delay,delay,duly,71,107,249
79,31995,427,353,345,,,duly,329,285,381
80,8532,8506,7471,6260,duly,duly,duly,364,232,238
81,1422,811,802,751,delay,delay,delay,39,31,2
82,25596,1112,1696,1452,,,duly,2386,1370,315
83,9954,6180,2367,1506,duly,duly,duly,895,1095,1067
84,1422,1162,851,624,duly,duly,duly,102,107,71
85,17064,8864,4347,8105,duly,duly,duly,321,320,7938
86,16353,12483,12825,10801,duly,duly,duly,604,178,6918
87,3555,3635,3494,2866,delay,delay,duly,0,173,1041
88,17064,3436,3693,3925,duly,duly,duly,213,213,213
89,10665,54,38,64,duly,duly,duly,59,64,112
90,25596,17,447,44,duly,,duly,0,492,15
91,21330,-11,-11,8,,,duly,0,11,7
92,12087,11776,11980,11752,duly,duly,duly,454,423,471
93,10665,1586,1734,2090,duly,duly,duly,110,220,96
94,3555,28,28,28,delay,delay,delay,0,0,0
95,14931,806,759,239,duly,duly,duly,613,557,545
96,2133,1906,973,1050,duly,duly,duly,107,60,64
97,3555,2935,3159,3236,delay,delay,delay,140,103,142
98,1422,838,927,591,duly,duly,duly,88,74,47
99,27018,24937,21082,21194,duly,duly,duly,827,782,818
100,12798,320,100,100,duly,delay,duly,100,100,6
101,6399,372,910,591,duly,duly,duly,555,364,0
102,711,311,256,528,duly,duly,duly,399,349,230
103,31284,49,9196,9555,duly,duly,duly,3130,4729,2370
104,5688,1932,1483,634,duly,duly,duly,637,36,129
105,21330,1493,1571,2252,duly,duly,duly,1683,1297,1615
106,16353,16579,14283,11716,duly,duly,duly,658,432,587
107,7110,699,660,569,,,duly,246,1034,631
108,35550,12479,3715,549,duly,duly,duly,644,711,149
109,12798,119,237,237,delay,duly,duly,237,237,237
110,22752,489,335,84,,,duly,727,43,41
111,12798,434,651,437,duly,duly,duly,185,26,8
112,3555,3441,3458,2072,delay,duly,duly,89,160,121
113,25596,6078,2905,224,duly,duly,duly,2793,231,235
114,15642,15052,15086,6672,duly,duly,duly,643,314,284
115,12798,1025,1165,1276,delay,delay,delay,100,107,249
116,25596,178,178,0,delay,delay,delay,0,0,0
117,3555,3584,3596,3609,duly,duly,duly,130,134,162
118,14220,7063,8618,8158,duly,duly,duly,854,711,462
119,6399,4479,2971,2055,duly,duly,duly,156,128,89
120,5688,90,93,184,duly,duly,duly,79,27,157
121,6399,3948,3099,2540,delay,delay,duly,110,107,114
122,2133,1779,1906,2003,duly,duly,duly,115,87,128
123,34128,16750,17539,16518,duly,duly,duly,2169,576,1102
124,3555,1406,1410,1210,duly,duly,duly,119,78,82
125,35550,19179,20443,21256,duly,duly,duly,1049,760,853
126,18486,5,0,37,,,duly,5,4,364
127,3555,1785,2138,312,duly,duly,duly,252,36,2
128,12087,7164,7550,7184,duly,duly,delay,368,267,267
129,16353,2517,886,688,duly,duly,duly,356,130,853
130,14931,1310,1493,1795,duly,duly,duly,124,178,142
131,25596,333,130,113,duly,duly,duly,286,130,60
132,11376,209,0,0,duly,,duly,71,0,0
133,20619,551,610,681,duly,duly,duly,94,64,71
134,4977,413,991,1176,delay,duly,duly,484,228,161
135,3555,3141,2886,2886,duly,duly,duly,129,149,104
136,2133,15,10,0,,,duly,0,11,0
137,2133,2056,1595,205,delay,duly,duly,105,18,0
138,19908,124,257,265,duly,duly,duly,166,204,262
139,11376,0,0,26,,,duly,0,26,0
140,31995,26849,5774,7059,duly,duly,duly,843,889,1244
141,11376,10593,10476,10101,duly,duly,duly,408,367,297
142,4977,3485,2519,1184,duly,duly,duly,120,66,63
143,1422,1277,1260,673,delay,delay,duly,0,178,213
144,17775,3162,178,0,duly,duly,duly,2181,0,0
145,2133,622,794,827,delay,delay,delay,85,39,57
146,12798,752,129,128,duly,duly,duly,331,171,121
147,6399,5483,0,0,duly,,duly,117,0,0
148,29862,504,3689,3113,delay,duly,duly,2485,112,106
149,12798,4078,3531,2197,duly,duly,duly,155,78,138
150,20619,4954,5141,5356,duly,duly,duly,204,194,202
151,7821,799,635,799,duly,delay,duly,89,185,36
152,4266,4013,337,0,duly,duly,duly,214,0,0
153,2133,2145,1706,222,delay,duly,duly,47,2,191
154,9954,9477,8136,7358,delay,delay,delay,423,252,128
155,9243,8457,4344,1248,duly,duly,duly,222,82,36
156,6399,1624,1818,1881,duly,duly,delay,115,95,121
157,14220,8084,8207,8692,delay,delay,delay,231,498,178
158,3555,889,1063,1159,duly,delay,duly,142,71,71
159,7110,6895,6785,6766,delay,delay,delay,124,249,270
160,24174,28,0,0,,,duly,28,0,0
161,9243,4239,2186,2291,duly,duly,duly,129,94,220
162,7821,4395,4618,4792,duly,delay,delay,341,174,292
163,2133,1060,1100,1155,delay,delay,delay,53,53,53
164,14220,5390,2970,4503,duly,duly,duly,322,181,4302
165,11376,42,28,47,,,duly,28,42,33
166,27018,25968,24638,21958,duly,duly,duly,1045,997,855
167,48348,1223,1184,6356,duly,duly,duly,181,36,5930
168,12798,12721,186,79,,,duly,414,1,36
169,27018,8143,4127,2137,duly,duly,duly,465,249,9044
170,18486,649,462,20,duly,duly,duly,178,20,0
171,19908,431,212,379,,,duly,168,519,109
172,5688,2264,2397,2496,duly,duly,duly,110,88,92
173,3555,3565,899,352,duly,duly,duly,227,82,13
174,35550,30492,29742,29755,duly,duly,duly,1203,997,1635
175,7110,5797,5178,4585,duly,duly,duly,203,167,175
176,18486,0,42,42,delay,,duly,0,42,0
177,12798,6437,1115,1488,duly,duly,duly,154,107,1067
178,10665,9727,9953,9560,duly,duly,duly,764,342,344
179,1422,1305,1349,1360,delay,delay,duly,107,55,108
180,11376,0,0,21,,,duly,0,0,21
181,35550,2764,1943,2859,duly,duly,duly,2347,1955,1138
182,7110,24,0,5,delay,,duly,24,0,22
183,11376,6149,7113,7389,duly,duly,duly,356,889,409
184,2133,2178,2072,1290,delay,delay,duly,50,54,73
185,14931,47,15,0,,,delay,49,0,0
186,19197,474,550,204,,,duly,312,337,287
187,19908,46,29,85,delay,delay,duly,0,105,15
188,5688,3762,4064,4350,duly,duly,duly,249,267,313
189,25596,218,0,246,,,duly,91,0,246
190,14220,5445,5248,4957,duly,duly,duly,284,320,249
191,17064,225,223,225,,,duly,223,226,224
192,5688,3814,2951,1978,duly,duly,duly,235,231,206
193,1422,1257,1333,1388,delay,delay,delay,80,57,23
194,9954,6362,6483,6295,duly,duly,duly,1173,284,238
195,14931,1180,1259,1240,duly,duly,duly,215,356,143
196,1422,138,959,438,delay,duly,duly,786,144,333
197,4266,4163,4023,1984,duly,duly,duly,164,144,146
198,3555,2491,2217,2477,duly,delay,delay,121,199,53
199,3555,250,94,52,duly,duly,duly,153,62,52
200,18486,11155,11224,9802,duly,duly,duly,498,441,356
201,22752,319,463,722,duly,delay,duly,102,122,157
202,4266,4206,2307,2161,delay,duly,delay,125,85,165
203,3555,3571,2092,371,delay,duly,duly,145,108,725
204,35550,6118,5590,4760,duly,duly,duly,2437,590,741
205,12798,6362,6624,6897,duly,duly,duly,235,243,254
206,2133,1398,1573,1752,duly,duly,delay,142,124,53
207,10665,228,0,37,,,duly,0,0,37
208,7110,0,0,0,delay,,duly,0,0,5
209,1422,1277,1305,1368,duly,duly,duly,105,67,97
210,19908,9454,9176,9554,duly,duly,duly,325,263,274
211,33417,2402,8397,8877,duly,duly,duly,244,5984,130
212,17064,169,0,1177,duly,,duly,28,137,1635
213,1422,644,767,872,duly,delay,duly,107,71,324
214,14220,23,23,23,duly,duly,duly,23,23,23
215,8532,601,544,102,duly,duly,duly,260,110,102
216,21330,89,116,123,,,duly,103,74,75
217,12798,0,0,0,delay,,duly,0,0,0
218,24885,22178,23080,23963,delay,delay,delay,924,889,924
219,23463,0,9045,9557,delay,duly,duly,4485,391,569
220,11376,131,0,23,delay,,duly,131,0,47
221,12798,0,0,0,delay,,duly,0,0,0
222,3555,3811,3546,1912,duly,duly,duly,145,112,116
223,14220,134,25,148,duly,duly,duly,157,98,137
224,10665,0,153,356,delay,duly,duly,115,394,0
225,12087,366,1297,403,,,duly,214,1475,635
226,3555,3101,529,0,duly,duly,duly,84,0,0
227,3555,3308,1062,615,duly,duly,duly,113,144,792
228,7110,28,34,0,,,duly,28,34,0
229,14220,7368,7415,6937,delay,delay,duly,338,124,444
230,39816,26900,27280,24060,duly,duly,duly,949,919,847
231,34128,500,1210,1629,delay,duly,duly,582,1414,799
232,2844,2185,2389,2432,delay,delay,duly,160,49,100
233,4266,4237,4158,2146,duly,duly,duly,164,128,89
234,711,550,658,684,duly,duly,duly,93,23,23
235,7110,2680,2810,1681,delay,duly,delay,145,57,26
236,35550,16912,14897,6933,duly,duly,duly,996,985,162
237,22752,107,408,0,duly,duly,duly,483,0,9
238,5688,2,7,0,delay,duly,duly,9,0,0
239,17064,2301,973,2134,duly,duly,duly,2798,808,2299
240,3555,967,1049,551,duly,duly,duly,526,21,53
241,3555,2895,0,0,duly,,duly,72,0,0
242,3555,1606,823,100,duly,duly,delay,109,70,47
243,2844,1845,1910,1963,delay,delay,delay,53,103,124
244,9954,35,71,0,duly,duly,duly,89,0,11
245,18486,18430,5653,9189,duly,duly,duly,676,4870,427
246,1422,683,714,711,duly,delay,duly,93,31,36
247,25596,23,-5,147,,,duly,0,149,197
248,14220,22,22,22,duly,duly,duly,22,22,22
249,14220,60,20,40,delay,delay,duly,0,40,0
250,33417,31893,31758,31254,duly,duly,delay,1244,1648,1027
251,1422,305,158,234,delay,duly,duly,43,71,71
252,6399,1878,1306,982,duly,duly,duly,881,364,353
253,8532,26,26,36,delay,duly,duly,26,18,49
254,17064,-2,-2,297,delay,,duly,0,55,391
255,14220,0,147,76,delay,delay,duly,83,0,104
256,3555,3805,3631,3534,delay,delay,duly,0,0,0
257,25596,14671,15155,15676,duly,duly,duly,569,560,561
258,20619,0,0,0,delay,,duly,0,0,0
259,25596,25263,24412,23686,duly,duly,duly,995,853,853
260,18486,14778,14075,14440,duly,duly,duly,569,533,569
261,12087,7924,9108,0,duly,duly,duly,5359,127,0
262,9243,444,730,894,duly,duly,duly,249,89,0
263,12798,0,0,511,,,duly,0,421,642
264,3555,783,968,540,duly,duly,duly,704,36,53
265,10665,12743,10423,10367,duly,duly,duly,349,291,316
266,3555,3496,2370,2144,duly,duly,delay,141,119,85
267,3555,3728,3646,1461,duly,duly,duly,159,89,761
268,711,279,310,325,delay,delay,delay,39,18,18
269,25596,89,89,0,,delay,duly,89,0,0
270,2133,2189,2072,2067,delay,delay,delay,0,121,43
271,14220,7031,6055,5480,duly,duly,duly,282,249,924
272,7110,2617,2631,2772,delay,delay,delay,75,142,36
273,22041,11560,6923,2558,duly,duly,duly,508,249,107
274,14220,0,0,0,,,duly,0,0,0
275,3555,1995,2225,2314,delay,delay,delay,164,92,96
276,10665,10919,10795,10790,duly,duly,duly,498,434,419
277,14220,7574,6685,6962,duly,duly,duly,239,246,239
278,14931,15602,6314,2852,duly,duly,duly,462,178,213
279,12798,11374,11704,12139,delay,delay,delay,476,437,444
280,4266,3420,3549,3663,delay,delay,delay,142,110,107
281,19908,13417,13651,14465,delay,delay,delay,569,515,526
282,1422,597,95,250,duly,duly,duly,566,250,24
283,7821,1630,1747,1836,delay,duly,duly,71,110,142
284,3555,3477,3526,3356,duly,duly,duly,132,135,120
285,4266,28,42,28,delay,delay,duly,28,14,17
286,2133,141,88,0,duly,duly,duly,59,53,0
287,20619,20357,20662,17186,duly,duly,duly,871,675,651
288,711,566,645,674,duly,duly,duly,81,24,21
289,6399,61,0,0,duly,,duly,0,0,396
290,11376,403,377,219,duly,delay,duly,221,1,3
291,1422,1375,1401,1427,duly,duly,duly,152,254,216
292,9243,9352,9090,9512,duly,delay,delay,434,537,160
293,35550,4802,7444,3594,duly,duly,duly,4444,716,3547
294,1422,1360,1007,1414,delay,duly,duly,376,704,747
295,24885,396,837,417,duly,duly,duly,762,679,256
296,6399,6211,6316,6158,duly,duly,duly,265,214,219
297,3555,3607,3410,787,duly,duly,duly,143,77,48
298,2133,1974,1591,1736,duly,duly,duly,142,412,76
299,5688,5768,5531,2444,delay,delay,duly,110,178,2666
300,14931,23,23,23,duly,duly,duly,23,23,23
301,11376,69,41,55,duly,duly,duly,55,69,41
302,6399,3802,3981,4105,duly,duly,duly,161,166,253
303,3555,0,0,0,delay,,duly,0,0,0
304,25596,35,8882,3458,duly,duly,duly,6242,49,2266
305,13509,17492,14975,13779,delay,delay,delay,0,0,5297
306,31284,1062,201,351,delay,,duly,462,1,4688
307,7821,6020,5911,5719,duly,duly,delay,251,323,129
308,4977,1208,1349,1537,duly,delay,delay,160,107,36
309,3555,5167,2371,1272,duly,duly,duly,177,84,52
310,44082,5015,4258,4430,duly,duly,duly,213,171,196
311,14220,700,1261,205,duly,duly,duly,1412,189,307
312,16353,214,870,7,duly,duly,duly,195,689,278
313,1422,1390,1465,711,delay,delay,duly,249,0,0
314,7821,4980,4595,4349,duly,duly,duly,197,156,185
315,12798,184,82,283,,,duly,179,209,204
316,22752,9794,6981,3559,duly,duly,duly,306,87,1959
317,7821,6825,6466,5557,duly,duly,duly,306,209,215
318,27018,9144,10321,4440,duly,duly,duly,1151,1067,116
319,2133,1908,1765,1132,duly,duly,duly,321,73,19
320,711,611,675,677,duly,duly,duly,105,57,13
321,14220,398,112,382,,,duly,310,393,287
322,14220,19,172,436,,,duly,84,122,402
323,7821,3193,2537,2427,duly,duly,duly,214,213,249
324,3555,3561,2035,1327,duly,duly,duly,171,96,71
325,19908,460,109,80,delay,,duly,448,119,79
326,27018,16048,15121,14007,duly,duly,delay,711,533,569
327,7110,4355,3546,3728,duly,duly,duly,249,142,139
328,2133,396,554,145,duly,duly,duly,153,84,133
329,1422,12,96,110,delay,duly,duly,48,73,60
330,3555,67,73,79,duly,duly,duly,46,38,75
331,22752,483,12,45,duly,duly,duly,119,53,380
332,3555,1785,1951,1721,delay,delay,duly,182,36,60
333,9243,0,0,0,delay,,duly,0,0,0
334,711,198,369,553,duly,duly,duly,91,98,111
335,18486,344,137,185,,,duly,186,159,183
336,7110,3534,333,657,duly,duly,duly,93,1370,44
337,711,292,263,270,delay,delay,delay,0,0,36
338,3555,2783,2929,3144,duly,duly,duly,142,129,128
339,1422,295,65,100,duly,,duly,36,118,107
340,2844,1860,2135,2220,delay,delay,delay,224,85,107
341,29862,24642,19432,13692,duly,duly,duly,1014,498,499
342,1422,82,158,23,duly,duly,duly,127,54,23
343,43371,603,349,4577,duly,duly,duly,394,2656,357
344,12798,1057,1117,1183,delay,duly,duly,53,47,75
345,9243,9269,7725,6712,duly,duly,duly,466,274,356
346,9243,9336,9409,9255,delay,delay,duly,400,382,342
347,3555,2688,2102,1430,duly,duly,delay,133,107,25
348,20619,14313,809,5651,duly,duly,duly,1274,845,5828
349,1422,1173,1329,2083,duly,duly,duly,115,75,77
350,32706,22771,22830,23217,duly,duly,duly,883,992,820
351,14220,412,640,19,duly,duly,duly,270,556,0
352,1422,131,14,28,delay,delay,duly,0,69,47
353,24174,2677,700,270,duly,duly,delay,617,480,213
354,1422,168,0,0,duly,,duly,0,0,113
355,1422,912,816,370,delay,delay,duly,119,36,0
356,1422,1293,1398,28,duly,duly,duly,108,36,0
357,2133,1186,1989,398,duly,duly,duly,1063,107,0
358,31284,707,822,695,duly,duly,duly,813,610,716
359,3555,3387,2867,2037,duly,duly,duly,138,103,80
360,7821,7815,7636,7591,duly,duly,duly,345,278,275
361,9243,9458,9462,9414,duly,duly,duly,494,462,409
362,25596,207,345,51,duly,duly,duly,365,0,0
363,35550,1310,27597,5,duly,duly,duly,14014,278,18
364,7110,134,55,0,duly,duly,duly,73,12,0
365,3555,1765,0,0,duly,,delay,0,0,0
366,5688,3825,2413,1861,duly,duly,duly,142,110,75
367,3555,130,0,12,,,duly,0,0,25
368,3555,2701,2174,1945,delay,delay,delay,71,71,142
369,5688,0,0,0,delay,,duly,0,0,0
370,2133,1951,2074,2067,duly,delay,delay,178,79,39
371,3555,719,255,103,delay,delay,duly,107,0,71
372,36261,395,1609,844,,duly,duly,844,1288,1192
373,4977,3467,779,1390,duly,duly,duly,121,818,249
374,9954,6471,6102,6029,duly,delay,duly,393,316,320
375,15642,0,0,0,delay,,delay,0,0,0
376,14220,9012,8633,8701,duly,delay,duly,589,164,324
377,17064,7308,7440,0,delay,delay,delay,379,0,0
378,9243,84,107,56,duly,duly,duly,89,75,165
379,22041,5174,5083,4989,duly,duly,duly,184,176,177
380,24885,5098,2595,1715,duly,duly,duly,890,178,107
381,33417,4985,4995,4904,duly,duly,duly,374,356,320
382,6399,6116,6249,3468,duly,duly,duly,241,175,103
383,4266,1146,1267,1428,duly,duly,duly,92,47,159
384,3555,3527,2865,2133,duly,duly,delay,166,148,44
385,6399,6102,4392,3456,duly,duly,duly,269,128,150
386,12798,0,0,0,delay,,duly,0,0,0
387,4266,3445,3472,2005,duly,duly,duly,133,85,117
388,17064,15712,10235,7642,duly,duly,duly,1625,7466,13705
389,4977,11,11,16,duly,duly,duly,11,11,29
390,8532,10228,8960,6706,delay,delay,duly,0,393,4352
391,711,612,727,1045,duly,duly,duly,118,27,23
392,4266,4211,4213,2780,duly,delay,duly,274,57,114
393,4266,3972,3933,3911,duly,duly,duly,189,171,196
394,5688,85,54,34,delay,duly,duly,91,78,20
395,5688,2271,2160,1700,delay,duly,delay,59,142,924
396,14931,35,131,28,duly,duly,duly,94,14,28
397,32706,6668,3470,2581,duly,duly,duly,156,107,74
398,11376,96,133,32,duly,duly,duly,133,0,32
399,2133,534,803,856,duly,duly,delay,139,85,21
400,7821,6694,5480,5454,duly,duly,duly,239,191,190
401,14220,-8,85,241,delay,delay,delay,20,80,97
402,16353,7575,6055,4482,duly,duly,duly,315,191,218
403,12798,0,51,0,,,duly,0,51,0
404,5688,4654,2799,1976,duly,duly,duly,161,114,107
405,4266,4428,1930,1288,duly,duly,duly,149,107,41
406,9243,7346,4394,2640,duly,duly,duly,284,196,124
407,5688,37,346,50,duly,duly,duly,5,341,50
408,3555,210,252,372,duly,duly,duly,173,519,129
409,9243,28,28,28,duly,duly,duly,28,28,28
410,3555,75,75,75,delay,delay,delay,0,0,0
411,1422,46,44,45,duly,duly,duly,46,50,71
412,10665,1332,10834,10846,,duly,duly,5915,346,366
413,3555,90,172,140,duly,duly,duly,571,115,140
414,28440,9622,8221,7076,duly,delay,duly,380,215,213
415,19908,9437,13838,10350,duly,duly,duly,4011,818,407
416,3555,1527,0,0,duly,,duly,36,0,0
417,19197,709,485,452,duly,duly,duly,93,107,43
418,3555,0,0,103,,,duly,0,103,0
419,3555,3503,2191,2099,duly,duly,duly,145,213,78
420,11376,127,54,815,duly,duly,duly,71,455,1305
421,11376,5331,4743,4782,delay,delay,duly,249,213,224
422,14931,16,33,22,duly,duly,duly,22,33,22
423,12087,12763,10988,9982,duly,duly,duly,681,747,427
424,5688,5691,3843,2099,duly,duly,duly,224,92,107
425,21330,44,0,0,duly,,duly,8,32,0
426,10665,2122,2467,-85,duly,duly,duly,338,36,0
427,5688,5049,5037,5099,duly,duly,duly,238,196,178
428,1422,504,661,706,duly,duly,delay,89,57,43
429,14220,13069,12815,13072,duly,duly,duly,481,462,534
430,2133,41,-45,-87,duly,,duly,0,0,71
431,4977,4916,4518,1944,duly,duly,duly,186,90,107
432,4266,1049,460,750,duly,duly,duly,58,469,346
433,5688,5933,6259,6179,duly,duly,duly,416,819,173
434,9243,10878,8162,6805,delay,duly,duly,213,356,3620
435,4266,3691,3057,2815,duly,duly,duly,133,100,111
436,2133,2129,2127,2124,delay,duly,duly,71,89,71
437,711,168,141,0,,,duly,141,69,0
438,2133,2021,2159,2315,duly,delay,delay,142,210,39
439,3555,3073,3405,3498,duly,delay,delay,284,142,139
440,35550,203,372,151,duly,duly,duly,321,0,106
441,2133,28,22,75,duly,duly,delay,28,61,0
442,18486,15817,13186,9917,duly,duly,duly,475,632,247
443,25596,145,0,0,duly,,duly,89,0,0
444,7110,0,0,225,delay,,duly,0,154,71
445,2133,919,1146,1134,duly,delay,delay,139,36,71
446,2844,2647,2807,2802,delay,delay,delay,135,43,0
447,25596,4593,6385,1408,,duly,duly,5155,2886,1579
448,35550,644,0,0,duly,,duly,0,0,0
449,5688,542,784,2150,duly,duly,duly,142,107,1493
450,34128,945,662,409,duly,duly,duly,863,412,545
451,9243,6093,6327,6698,duly,delay,duly,406,124,379
452,12087,1131,1239,1313,delay,delay,delay,142,53,36
453,14220,11549,12115,12726,duly,duly,duly,498,515,480
454,8532,218,232,365,duly,delay,duly,181,408,407
455,19908,18209,18271,11033,duly,duly,duly,10197,675,493
456,19908,222,154,15,,,duly,79,151,57
457,3555,3593,2474,1340,duly,duly,duly,121,66,47
458,8532,1449,134,252,duly,duly,duly,115,126,0
459,25596,135,89,0,,,duly,178,0,0
460,18486,9592,9883,10333,duly,duly,duly,406,398,321
461,9954,76,589,106,duly,duly,duly,481,126,106
462,12087,8302,8506,8768,duly,duly,duly,302,317,338
463,6399,4797,2150,1755,duly,duly,duly,169,96,78
464,10665,14461,9819,2133,duly,duly,duly,587,142,0
465,5688,2908,2088,1903,duly,duly,duly,142,75,75
466,3555,3450,2851,839,delay,duly,duly,139,114,9
467,18486,5590,4635,4204,duly,duly,duly,179,149,155
468,5688,8950,7780,6022,delay,delay,delay,0,0,0
469,35550,1776,1712,8817,duly,delay,duly,1274,5712,1724
470,14931,165,183,4717,,,duly,183,134,4843
471,35550,5693,5152,4621,duly,duly,duly,233,197,164
472,19197,5608,4878,4169,duly,duly,duly,284,185,213
473,3555,1595,1592,969,duly,duly,duly,434,142,53
474,5688,485,445,278,duly,duly,duly,577,250,768
475,6399,164,44,60,duly,duly,duly,124,55,55
476,19908,0,24,312,,,duly,0,132,220
477,3555,3359,3542,3333,delay,delay,duly,242,64,128
478,3555,3457,2007,359,delay,duly,duly,184,38,53
479,9954,6960,7155,7520,duly,duly,duly,306,391,498
480,5688,4930,1932,1985,duly,duly,duly,409,75,90
481,8532,99,1023,0,duly,duly,duly,12,1023,0
482,18486,12821,7933,6948,delay,duly,duly,152,260,3884
483,22752,7343,6702,7302,duly,duly,duly,280,270,629
484,3555,2098,2153,2146,duly,delay,duly,164,38,85
485,14220,13757,14170,7833,duly,duly,duly,453,285,745
486,3555,2432,1241,60,duly,duly,duly,107,32,62
487,2844,134,1544,2915,delay,duly,delay,128,1582,53
488,3555,3316,3334,1057,delay,duly,duly,78,107,142
489,24174,121,200,135,duly,duly,duly,216,157,191
490,15642,63,2870,271,duly,,duly,0,3061,4415
491,8532,3522,677,510,duly,duly,duly,655,800,1584
492,14220,12896,10601,10495,duly,duly,duly,466,544,368
493,17064,0,0,0,delay,,delay,0,0,0
494,14931,157,417,0,duly,duly,duly,48,369,0
495,12798,6589,3288,1839,delay,duly,duly,196,124,213
496,31284,6,94,363,duly,delay,delay,69,64,301
497,4266,406,587,704,duly,delay,duly,160,36,107
498,3555,3532,3575,3598,duly,duly,duly,139,139,149
499,3555,1955,2118,2116,delay,delay,delay,142,128,0
500,17064,4869,2997,4093,duly,duly,duly,253,2735,2214
501,7110,771,335,386,duly,delay,delay,84,89,36
502,3555,3146,2855,1432,duly,duly,duly,278,80,146
503,9243,8645,6783,4900,delay,delay,duly,187,206,168
504,6399,5867,5850,2297,delay,delay,duly,174,213,178
505,2133,1926,28,1085,duly,duly,duly,63,1085,0
506,2133,751,221,377,duly,duly,duly,74,373,29
